Vivado Simulator v2020.2.2
Time resolution is 1 ps
Time =                    0 ns, State = 0, IR_OUT = x
Time =           3590500000 ns, State = 5, IR_OUT = 1
Time =           3603652000 ns, State = 5, IR_OUT = 0
Time =           3616804000 ns, State = 5, IR_OUT = 1
Time =           3629956000 ns, State = 5, IR_OUT = 0
Time =           3643108000 ns, State = 5, IR_OUT = 1
Time =           3656260000 ns, State = 5, IR_OUT = 0
Time =           3669412000 ns, State = 5, IR_OUT = 1
Time =           3682564000 ns, State = 5, IR_OUT = 0
Time =           3695716000 ns, State = 5, IR_OUT = 1
Time =           3701156000 ns, State = 6, IR_OUT = 1
Time =           3701164000 ns, State = 6, IR_OUT = 0
