Vivado Simulator 2020.2
Time resolution is 1 ps
Time: 0 | ir_out1: x | ir_out2: x
Time: 3445828000 | ir_out1: 0 | ir_out2: 0
Time: 3458980000 | ir_out1: 1 | ir_out2: 1
Time: 3472132000 | ir_out1: 0 | ir_out2: 0
Time: 3485284000 | ir_out1: 1 | ir_out2: 1
Time: 3498436000 | ir_out1: 0 | ir_out2: 0
Time: 3511588000 | ir_out1: 1 | ir_out2: 1
Time: 3524740000 | ir_out1: 0 | ir_out2: 0
Time: 3537892000 | ir_out1: 1 | ir_out2: 1
Time: 3551044000 | ir_out1: 0 | ir_out2: 0
Time: 3564196000 | ir_out1: 1 | ir_out2: 1
Time: 3577348000 | ir_out1: 0 | ir_out2: 0
Time: 3590500000 | ir_out1: 1 | ir_out2: 1
Time: 3603652000 | ir_out1: 0 | ir_out2: 0
Time: 3616804000 | ir_out1: 1 | ir_out2: 1
Time: 3629956000 | ir_out1: 0 | ir_out2: 0
Time: 3643108000 | ir_out1: 1 | ir_out2: 1
Time: 3656260000 | ir_out1: 0 | ir_out2: 0
Time: 3669412000 | ir_out1: 1 | ir_out2: 1
Time: 3682564000 | ir_out1: 0 | ir_out2: 0
Time: 3695716000 | ir_out1: 1 | ir_out2: 1
Time: 3708868000 | ir_out1: 0 | ir_out2: 0
Time: 3722020000 | ir_out1: 1 | ir_out2: 1
Time: 3735172000 | ir_out1: 0 | ir_out2: 0
Time: 3748324000 | ir_out1: 1 | ir_out2: 1
Time: 3761476000 | ir_out1: 0 | ir_out2: 0
Time: 3774628000 | ir_out1: 1 | ir_out2: 1
Time: 3787780000 | ir_out1: 0 | ir_out2: 0
Time: 3800932000 | ir_out1: 1 | ir_out2: 1
Time: 3814084000 | ir_out1: 0 | ir_out2: 0
Time: 3827236000 | ir_out1: 1 | ir_out2: 1
Time: 3840388000 | ir_out1: 0 | ir_out2: 0
Time: 3853540000 | ir_out1: 1 | ir_out2: 1
Time: 3866692000 | ir_out1: 0 | ir_out2: 0
Time: 3879844000 | ir_out1: 1 | ir_out2: 1
Time: 3892996000 | ir_out1: 0 | ir_out2: 0
Time: 3906148000 | ir_out1: 1 | ir_out2: 1
Time: 3919300000 | ir_out1: 0 | ir_out2: 0
Time: 3932452000 | ir_out1: 1 | ir_out2: 1
Time: 3945604000 | ir_out1: 0 | ir_out2: 0
Time: 3958756000 | ir_out1: 1 | ir_out2: 1
Time: 3971908000 | ir_out1: 0 | ir_out2: 0
Time: 3985060000 | ir_out1: 1 | ir_out2: 1
Time: 3998212000 | ir_out1: 0 | ir_out2: 0
Time: 4011364000 | ir_out1: 1 | ir_out2: 1
Time: 4024516000 | ir_out1: 0 | ir_out2: 0
Time: 4037668000 | ir_out1: 1 | ir_out2: 1
Time: 4050820000 | ir_out1: 0 | ir_out2: 0
Time: 4063972000 | ir_out1: 1 | ir_out2: 1
Time: 4077124000 | ir_out1: 0 | ir_out2: 0
Time: 4090276000 | ir_out1: 1 | ir_out2: 1
Time: 4103428000 | ir_out1: 0 | ir_out2: 0
Time: 4116580000 | ir_out1: 1 | ir_out2: 1
Time: 4129732000 | ir_out1: 0 | ir_out2: 0
Time: 4142884000 | ir_out1: 1 | ir_out2: 1
Time: 4156036000 | ir_out1: 0 | ir_out2: 0
Time: 4169188000 | ir_out1: 1 | ir_out2: 1
Time: 4182340000 | ir_out1: 0 | ir_out2: 0
Time: 4195492000 | ir_out1: 1 | ir_out2: 1
Time: 4208644000 | ir_out1: 0 | ir_out2: 0
Time: 4221796000 | ir_out1: 1 | ir_out2: 1
Time: 4234948000 | ir_out1: 0 | ir_out2: 0
Time: 4248100000 | ir_out1: 1 | ir_out2: 1
Time: 4261252000 | ir_out1: 0 | ir_out2: 0
Time: 4274404000 | ir_out1: 1 | ir_out2: 1
Time: 4287556000 | ir_out1: 0 | ir_out2: 0
Time: 4300708000 | ir_out1: 1 | ir_out2: 1
Time: 4313860000 | ir_out1: 0 | ir_out2: 0
Time: 4327012000 | ir_out1: 1 | ir_out2: 1
Time: 4340164000 | ir_out1: 0 | ir_out2: 0
Time: 4353316000 | ir_out1: 1 | ir_out2: 1
Time: 4366468000 | ir_out1: 0 | ir_out2: 0
Time: 4379620000 | ir_out1: 1 | ir_out2: 1
